xstart, xend, N, bstart, bend, c, Ve, cachname 
[0.001],[1.4],20,[  1.06591800e-14   1.54980000e+00   8.61000000e+01],[  1.56111800e-14   2.26980000e+00   1.26100000e+02],{},[[  1.00000000e-09]],00_6cc10e632bd0222d9baeb9f6792d69ab
[0.001],[1.4],20,[  1.07829800e-14   1.56780000e+00   8.71000000e+01],[  1.57349800e-14   2.28780000e+00   1.27100000e+02],{},[[  1.00000000e-09]],00_a43a1d7da34e3a4f13c87203fca73e45
[0.001],[1.4],45,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-08]],00_2eceab51d7d57f204a2074e43f245bde
[0.001],[1.4],20,[  1.09067800e-14   1.58580000e+00   8.81000000e+01],[  1.58587800e-14   2.30580000e+00   1.28100000e+02],{},[[  1.00000000e-09]],00_fa69a6c2b3b61ba41831dcd81c391957
[0.001],[1.4],20,[  1.10305800e-14   1.60380000e+00   8.91000000e+01],[  1.59825800e-14   2.32380000e+00   1.29100000e+02],{},[[  1.00000000e-09]],00_79389c204b8df5240e24ca14a7988cd2
[0.001],[1.4],20,[  1.10305800e-14   1.60380000e+00   8.91000000e+01],[  1.59825800e-14   2.32380000e+00   1.29100000e+02],{},[[  1.00000000e-09]],00_79389c204b8df5240e24ca14a7988cd2
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.0001]],00_d3d4be236111da0ff5a23e34b6601741
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.0001]],00_d3d4be236111da0ff5a23e34b6601741
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-05]],00_9c3ffc13c8611e6f6e6dfe9d142e2d5b
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-05]],00_9c3ffc13c8611e6f6e6dfe9d142e2d5b
[0.001],[1.4],20,[  9.28500000e-15   1.35000000e+00   7.50000000e+01],[  1.67130000e-14   2.43000000e+00   1.35000000e+02],{},[[  1.00000000e-09]],00_9fa56a68102b3dc2e2c11a0657f0831a
[0.001],[1.4],20,[  9.28500000e-15   1.35000000e+00   7.50000000e+01],[  1.67130000e-14   2.43000000e+00   1.35000000e+02],{},[[  1.00000000e-09]],00_9fa56a68102b3dc2e2c11a0657f0831a
[0.001],[1.4],20,[  8.97550000e-15   1.30500000e+00   7.25000000e+01],[  1.70225000e-14   2.47500000e+00   1.37500000e+02],{},[[  1.00000000e-09]],00_47c35d2accba3ea9e80b2da6ace8eb66
[0.001],[1.4],20,[  8.97550000e-15   1.30500000e+00   7.25000000e+01],[  1.70225000e-14   2.47500000e+00   1.37500000e+02],{},[[  1.00000000e-09]],00_47c35d2accba3ea9e80b2da6ace8eb66
[0.001],[1.4],20,[  8.66600000e-15   1.26000000e+00   7.00000000e+01],[  1.73320000e-14   2.52000000e+00   1.40000000e+02],{},[[  1.00000000e-09]],00_e42bb43af24f1439d60134eadd335982
[0.001],[1.4],20,[  8.66600000e-15   1.26000000e+00   7.00000000e+01],[  1.73320000e-14   2.52000000e+00   1.40000000e+02],{},[[  1.00000000e-09]],00_e42bb43af24f1439d60134eadd335982
[0.001],[1.4],20,[  8.35650000e-15   1.21500000e+00   6.75000000e+01],[  1.76415000e-14   2.56500000e+00   1.42500000e+02],{},[[  1.00000000e-09]],00_64d6906c8d41045d0f22ebdea6beb52c
[0.001],[1.4],20,[  8.35650000e-15   1.21500000e+00   6.75000000e+01],[  1.76415000e-14   2.56500000e+00   1.42500000e+02],{},[[  1.00000000e-09]],00_64d6906c8d41045d0f22ebdea6beb52c
